X,Y,IDFRANA,PIFF_TY,LAT,LONG,X_COORD,Y_COORD,DIR,icon_url
15.6749487611146,38.0368352288426,"800908600","2","38,0362","15,67495",1086100.93999999994,4230991.58000000007,313.00000000000,./0.png
15.6721411544502,38.0360358274854,"800908700","7","38,0354","15,67214",1085860.56000000006,4230884.94000000041,555.00000000000,./0.png
15.6637173845043,38.0383013946798,"800908900","2","38,03767","15,66372",1085101.98999999999,4231083.37999999989,173.00000000000,./0.png
15.6628902655838,38.0380571217141,"800909000","2","38,03743","15,66289",1085031.23999999999,4231051.00000000000,179.00000000000,./0.png
15.6616649999344,38.0377921921436,"800909100","2","38,03716","15,66166",1084925.65999999992,4231013.80999999959,213.00000000000,./0.png
15.663065719605,38.0386570356511,"800909200","2","38,03803","15,66306",1085041.86000000010,4231118.78000000026,259.00000000000,./0.png
15.6728992205348,38.0423791818256,"800908500","7","38,04175","15,6729",1085876.36000000010,4231594.73000000045,555.00000000000,./0.png
15.6647080167134,38.0441620581404,"800909300","2","38,04353","15,66471",1085142.15999999992,4231740.99000000022,184.00000000000,./0.png
15.6668835031886,38.044721709059,"800909400","2","38,04409","15,66688",1085328.87999999989,4231816.95999999996,175.00000000000,./0.png
15.6679344176243,38.045105487117,"800909500","2","38,04447","15,66793",1085418.16999999993,4231866.25999999978,179.00000000000,./0.png
15.6686089493516,38.045063844422,"800909600","2","38,04443","15,66861",1085477.79000000004,4231865.91000000015,184.00000000000,./0.png
15.6699323083913,38.0449590094026,"800909700","2","38,04433","15,66993",1085594.93999999994,4231862.63999999966,180.00000000000,./0.png
15.6714314294022,38.0450820688312,"800909800","2","38,04445","15,67143",1085725.69999999995,4231885.82000000030,184.00000000000,./0.png
15.6708879337016,38.0713049399524,"800908200","7","38,07067","15,67089",1085467.81000000006,4234796.70000000019,295.00000000000,./0.png
15.6754653001514,38.0864699204166,"800904900","2","38,08584","15,67546",1085748.30000000005,4236511.09999999963,293.00000000000,./0.png
15.6755185318999,38.0894998624233,"800905801","2","38,08887","15,67552",1085728.65999999992,4236848.17999999970,313.00000000000,./0.png
15.6739492194733,38.0889308762715,"800905802","2","38,0883","15,67395",1085595.38999999990,4236774.99000000022,329.00000000000,./0.png
15.6804032365797,38.0880008592319,"800908800","2","38,08737","15,6804",1086169.75000000000,4236712.58000000007,25.00000000000,./0.png
15.6721904535917,38.0890182239819,"800914000","2","38,08839","15,67219",1085440.20999999996,4236773.54999999981,322.00000000000,./0.png
15.6824579042345,38.0878115134859,"800914600","2","38,08718","15,68246",1086351.73999999999,4236704.58000000007,54.00000000000,./0.png
15.6825009482017,38.0889358028875,"800914700","2","38,0883","15,6825",1086346.48999999999,4236829.80999999959,39.00000000000,./0.png
15.6772045366447,38.0795811091924,"800914800","2","38,07895","15,6772",1085956.36000000010,4235756.54000000004,192.00000000000,./0.png
15.6755192194484,38.0805455880487,"800914900","7","38,07991","15,67552",1085800.57000000007,4235853.04000000004,555.00000000000,./0.png
15.6729992240265,38.0844324458109,"800915000","11","38,0838","15,673",1085548.03000000003,4236269.03000000026,555.00000000000,./0.png
15.6715815757851,38.0865751947055,"800915100","2","38,08594","15,67158",1085406.32000000007,4236498.17999999970,287.00000000000,./0.png
15.6744506868755,38.0875545129496,"800915200","11","38,08692","15,67445",1085650.47999999998,4236625.20999999996,555.00000000000,./0.png
15.6751923072048,38.0870981363966,"800915300","2","38,08647","15,67519",1085719.28000000003,4236579.19000000041,281.00000000000,./0.png
15.6731081274721,38.075006362455,"800908300","2","38,07438","15,67311",1085633.18999999994,4235222.12999999989,282.00000000000,./0.png
15.6719505877145,38.072720991701,"800908400","2","38,07209","15,67195",1085549.82000000007,4234960.80999999959,327.00000000000,./0.png
15.6730820790153,38.0761138849107,"800910300","2","38,07548","15,67308",1085622.02000000002,4235345.05999999959,355.00000000000,./0.png
15.6827901027228,38.0760577948631,"800910400","2","38,07543","15,68279",1086475.33000000007,4235400.41999999993,355.00000000000,./0.png
15.676479887565,38.0910492236195,"800906600","2","38,09042","15,67648",1085800.66999999993,4237026.46999999974,330.00000000000,./0.png
15.6775392317433,38.0902364018556,"800907700","2","38,08961","15,67754",1085900.23999999999,4236942.86000000034,24.00000000000,./0.png
15.6631448146218,38.1055757535555,"800911800","2","38,10494","15,66314",1084513.04000000004,4238556.37999999989,181.00000000000,./0.png
15.663614551456,38.1058621082288,"800919400","2","38,10523","15,66361",1084552.00000000000,4238591.17999999970,153.00000000000,./0.png
